Var,Human,Demo/Exam/Quest/Lab/Mort,Data,ForceInc
SEQN,Patient number,DEMO,1,1
SDDSRVYR,Data release cycle,DEMO,0,0
RIDSTATR,Interview/Examination status,DEMO,0,0
RIDEXMON,6 month time period when exam was performed,DEMO,0,0
RIAGENDR,Gender,DEMO,0,0
RIDAGEYR,Age in years (85 and over topcoded at 85),DEMO,0,0
RIDAGEMN,Age in months at date of screen (for those under 85 years of age),DEMO,0,0
RIDAGEEX,Age in months at date of exam (for those under 85 years of age),DEMO,0,0
RIDRETH1,Race Ethnicity,DEMO,0,0
RIDRETH2,Linked Race Ethnicity,DEMO,0,0
DMQMILIT,Served active duty in US armed forces,DEMO,0,0
DMDBORN,Country of birth,DEMO,0,0
DMDCITZN,Citizenship status,DEMO,0,0
DMDYRSUS,Length of time in US,DEMO,0,0
DMDEDUC3,Education level – Children Youth 6-19,DEMO,0,0
DMDEDUC2,Education level – Adults 20+,DEMO,0,0
DMDEDUC,Education recode old version,DEMO,0,0
DMDSCHOL,Now attending school,DEMO,0,0
DMDMARTL,Marital status,DEMO,0,0
DMDHHSIZ,Total number of people in household,DEMO,0,0
INDHHINC,Annual household income,DEMO,0,0
INDFMINC,Annual family income,DEMO,0,0
INDFMPIR,Ratio of family income to poverty guidelines,DEMO,0,0
RIDEXPRG,Pregnancy status at exam,DEMO,0,0
RIDPREG,Pregnancy status recode old version,DEMO,0,0
DMDHRGND,HH reference person gender,DEMO,0,0
DMDHRAGE,HH reference person age in years,DEMO,0,0
DMDHRBRN,HH reference person country of birth,DEMO,0,0
DMDHREDU,HH reference person education level,DEMO,0,0
DMDHRMAR,HH reference person marital status,DEMO,0,0
DMDHSEDU,HH reference person spouse education level ,DEMO,0,0
WTINT2YR,Full sample 2 year interview weight,DEMO,0,0
WTINT4YR,Full sample 4 year interview weight,DEMO,0,0
WTMEC2YR,Full sample 2 year MEC exam weight,DEMO,0,0
WTMEC4YR,Full sample 4 year MEC exam weight,DEMO,0,0
SDMVPSU,Masked variance pseudoPSU,DEMO,0,0
SDMVSTRA,Masked variance unit pseudostratum variable for variance estimation,DEMO,0,0
ALQ100,At least 12 alcohol drinks per year,Q,0,0
ALQ110,At least 12 alcohol drinks per lifetime,Q,0,0
ALQ120Q,How often drink alcohol over past 12 months,Q,0,0
ALQ120U,Number days drink alcohol per week month year,Q,0,0
ALQ130,Average number alcoholic drinks per day past 12 months,Q,0,0
ALQ140Q,Number days 5 or more drinks past 12 months,Q,0,0
ALQ140U,Number days per week month year,Q,0,0
ALQ150,Ever have 5 or more drinks every day,Q,0,0
AUQ130,General condition of hearing,Q,0,0
AUQ140,When was hearing last tested,Q,0,0
AUQ150,Ever worn a hearing aid,Q,0,0
AUQ160,Now wearing a hearing aid,Q,0,0
AUQ170,Worn hearing aid in past 12 months,Q,0,0
AUQ180,How often wear hearing aid in past year,Q,0,0
AUQ190,"Ears ringing, roaring, buzzing past year",Q,0,0
AUQ200,"How often ringing, roaring, buzzing",Q,0,0
BAQ010,Dizzy/balance/falling problems/past yr,Q,0,0
BAQ020A,Dizziness problems in past year,Q,0,0
BAQ020B,Balance problems in past year,Q,0,0
BAQ020C,Falling problems in past year,Q,0,0
BAQ030A,How long did dizziness last,Q,0,0
BAQ030B,How long did balance problem last,Q,0,0
BAQ040,Get dizzy when turn over in bed,Q,0,0
BAQ060A,Off balance due to cold or flu,Q,0,0
BAQ060B,Off balance due to injury or accident,Q,0,0
BAQ060C,Off balance due to drugs or medicine,Q,0,0
BAQ060D,Off balance due to aging,Q,0,0
BAQ060E,Off balance due to surgery,Q,0,0
BAQ060F,Off balance due to hearing problem,Q,0,0
BAQ060G,Off balance due to vision problem,Q,0,0
BAQ060H,Nothing related to balance problem,Q,0,0
BAQ070,Received treatment for dizziness/balance,Q,0,0
BAQ075,How long ago where you treated,Q,0,0
BAQ080A,Did treatment involve medication,Q,0,0
BAQ080B,Did treatment involve surgery to ear,Q,0,0
BAQ080C,Did treatment involve other type surgery,Q,0,0
BAQ080D,Did treatment involve exercises,Q,0,0
BAQ090,Treatment affect on dizziness/balance,Q,0,0
BAQ100,Blood relative dizziness/balance problem,Q,0,0
BPQ010,Last BP reading by doctor,Q,0,0
BPQ020,Dr told you have high BP,Q,0,0
BPQ030,Told had high BP twice,Q,0,0
BPQ040A,Taking prescription for hypertension,Q,0,0
BPQ040B,Told to control weight for hypertension,Q,0,0
BPQ040C,Told to reduce sodium for hypertension,Q,0,0
BPQ040D,Told to exercise more for hypertension,Q,0,0
BPQ040E,Told to reduce alcohol for hypertension,Q,0,0
BPQ040F,Told to do other things for hypertension,Q,0,0
BPQ042,Check item,Q,0,0
BPQ043A,Told to stop smoking for hypertension,Q,0,0
BPQ043B,Told to increase potassium for hypertension,Q,0,0
BPQ043C,Told of other diet changes for hypertension,Q,0,0
BPQ043D,Told to do other things for hypertension,Q,0,0
BPQ045,Check item in boxes,Q,0,0
BPQ050A,Now taking prescribed medicine for hypertension,Q,0,0
BPQ050B,Now controlling weight,Q,0,0
BPQ050C,Now reducing salt sodium,Q,0,0
BPQ050D,Now exercising more,Q,0,0
BPQ050E,Now reducing alcohol consumption,Q,0,0
BPQ055,Check item in boxes,Q,0,0
BPQ060,Ever had blood cholesterol checked,Q,0,0
BPQ070,When blood cholesterol last checked,Q,0,0
BPQ080,Dr told you have high cholesterol,Q,0,0
BPQ090A,Told to eat less fat for cholesterol,Q,0,0
BPQ090B,Told to reduce weight for cholesterol,Q,0,0
BPQ090C,Told to exercise more for cholesterol,Q,0,0
BPQ090D,Told to take prescription for cholesterol,Q,0,0
BPQ095,Check item in boxes,Q,0,0
BPQ100A,Now eating fewer high fat foods,Q,0,0
BPQ100B,Now controlling weight,Q,0,0
BPQ100C,Now increasing exercise,Q,0,0
BPQ100D,Now taking prescribed medicine,Q,0,0
BPQ110A,Eating fewer high fat foods on own,Q,0,0
BPQ110B,Controlling weight on own,Q,0,0
BPQ110C,Increasing exercise on own,Q,0,0
BPQ115,Check item in boxes,Q,0,0
BPQ117,Check item in boxes,Q,0,0
BPQ120,Eating fewer high fat foods on own ,Q,0,0
BPQ125,Check item in boxes,Q,0,0
BPQ130,Controlling weight on own,Q,0,0
BPQ135,Check item in boxes,Q,0,0
BPQ140,Increasing exercise on own,Q,0,0
CFD010,Can do exercise without distraction,Q,0,0
CFQ020,Usually wear glasses to read,Q,0,0
CFD030,Has SP completed sample exercise,Q,0,0
CFD040,Reason unable to complete sample,Q,0,0
CFD050,Digit symbol substitution test exercise completion result,Q,0,0
CFDFINSH,Number completed,Q,0,0
CFDRIGHT,DSST score (60-150 yo),Q,0,0
DEQ040,Ever told by doctor you had melanoma,Q,0,0
DEQ060,Dermatitis eczema rash in past year,Q,0,0
DEQ070,Dermatitis eczema rash now ,Q,0,0
DIQ010,Dr told you have diabetes,Q,0,0
DIQ040G,Age when first told had diabetes,Q,0,0
DIQ040Q,Number of years of age,Q,0,0
DIQ050,Taking insulin now,Q,0,0
DIQ060G,How long taking insulin,Q,0,0
DIQ060Q,Number of months years taking insulin,Q,0,0
DIQ060U,Unit of measure month year,Q,0,0
DIQ065,Check item in boxes,Q,0,0
DIQ070,Take diabetic pills to lower blood sugar,Q,0,0
DIQ075,Check item in boxes,Q,0,0
DIQ080,Diabetes affected eyes or had retinopathy,Q,0,0
DIQ085,Check item in boxes,Q,0,0
DIQ090,Ulcer or sore not healed within 4 weeks,Q,0,0
DIQ100,Numbness in hands or feet past 3 months,Q,0,0
DIQ110,Numbness in hands and or feet,Q,0,0
DIQ120,Pain or tingling in hands feet,Q,0,0
DIQ130,Pain or tingling in hands feet or both,Q,0,0
DIQ140,Pain in either leg while walking,Q,0,0
DIQ150,Pain in calf or calves,Q,0,0
HCQ030,First time told had Hep C (not in NHANES 9900),Q,0,0
HCQ040,How long known infected with Hep C (not in NHANES 9900),Q,0,0
HUQ010,General health condition,Q,0,0
HUQ020,Health now compared with 1 year ago,Q,0,0
HUQ030,Routine place to go for healthcare,Q,0,0
HUQ040,Type place most often go for healthcare,Q,0,0
HUQ050,Number times received healthcare over past year,Q,0,0
HUQ060,How long since last healthcare visit,Q,0,0
HUQ070,Overnight hospital patient in last year (for 99-00) (same as HUD070) ,Q,0,0
HUD070,Overnight hospital patient in last year (for 01-02) (same as HUQ070) – synced to HUQ070 in merged,Q,0,0
HUD080,Number times overnight hospital patient past year (for 99-00) (same as HUQ080),Q,0,0
HUQ080,Number times overnight hospital patient past year (for 01-02) (same as HUD080) – synced to HUD080 in merged,Q,0,0
HUQ081,Check item (not in NHANES 9900),Q,0,0
HUQ082,In long term care facility last 12 months (not in NHANES 9900),Q,0,0
HUQ084,Total number of days in long term facility (not in NHANES 9900),Q,0,0
HUQ086,Non SP household member in care facility overnight (not in NHANES 9900),Q,0,0
HUQ088A,Acute care facility (not in NHANES 9900),Q,0,0
HUQ088B,Long term care facility (not in NHANES 9900),Q,0,0
HUQ088C,Rehabilitation facility (not in NHANES 9900),Q,0,0
HUQ089,Check item (not in NHANES 9900),Q,0,0
HUQ090,Seen mental health professional past year,Q,0,0
IMQ010,Received Hep A vaccine,Q,0,0
IMQ020,Received Hep B vaccine,Q,0,0
IMQ030,Had pneumonia vaccination,Q,0,0
KIQ020,Told had weak/failing kidneys (for 99-00) (same as KIQ022),Q,0,0
KIQ022,Told had weak/failing kidneys (for 01-02) (same as KIQ020) – synced to KIQ020 in merged,Q,0,0
KIQ025,Received dialysis in past 12 months (not in NHANES 99-00),Q,0,0
KIQ042,Leak urine during physical activities (not in NHANES 99-00),Q,0,0
KIQ043,How frequently does this occur (leak during during physical activities) (not in NHANES 99-00),Q,0,0
KIQ044,Urinated before reaching toilet (not in NHANES 99-00),Q,0,0
KIQ045,Frequency with which this occurs (not in NHANES 99-00),Q,0,0
KIQ046,Leak urine during nonphysical activities (not in NHANES 99-00),Q,0,0
KIQ047,How frequently does this occur (leak during during nonphysical activities) (not in NHANES 99-00),Q,0,0
KIQ048,Check item (not in NHANES 99-00),Q,0,0
KIQ050,How much did urine leakage bother you (not in NHANES 99-00),Q,0,0
KIQ052,How much were daily activities affected (not in NHANES 99-00),Q,0,0
KIDUQUEX,Flag for source questionnaire (not in NHANES 99-00),Q,0,0
KIQ080,Difficulty starting to urinate (not in NHANES 01-02) (same as KIQ081),Q,0,0
KIQ100,Bladder feel empty after urinating (not in NHANES 01-02) (same as KIQ101),Q,0,0
KIQ120,Ever told you had enlarged prostate (not in NHANES 01-02) (same as KIQ121),Q,0,0
KIQ140,Told it was a benign enlargement (not in NHANES 01-02) (same as KIQ141),Q,0,0
KIQ160,Age first told had benign enlargement (not in NHANES 01-02) (same as KIQ161),Q,0,0
KIQ180,Enlargement due to cancer (not in NHANES 01-02) (same as KIQ182),Q,0,0
KIQ200,Ever told you had prostate cancer (not in NHANES 01-02) (same as KIQ201),Q,0,0
KIQ220,Age when first told had prostate cancer (not in NHANES 01-02),Q,0,0
KIQ240,Ever had surgery on prostate gland (not in NHANES 01-02),Q,0,0
KIQ260,Surgery on prostate but not for cancer (not in NHANES 01-02),Q,0,0
KIQ280,Surgery for cancer of prostate (not in NHANES 01-02),Q,0,0
KIQ300,Radiation treatment for prostate cancer (not in NHANES 01-02),Q,0,0
KIQ320,Blood test to check for prostate cancer (not in NHANES 01-02),Q,0,0
KIQ040,Difficulty controlling bladder (not in NHANES 01-02),Q,0,0
KIQ060,Frequency of bladder control problem (not in NHANES 01-02),Q,0,0
KIQ340,Ever had rectal exam (not in NHANES 01-02) (same as KIQ341),Q,0,0
KIQ360,Rectal exam check for prostate cancer (not in NHANES 01-02) (same as KIQ361),Q,0,0
KIQ380,Rectal exam check for blood in stool (not in NHANES 01-02) (same as KIQ381),Q,0,0
KIAQUEX,Question KIQ340 360 380 1=SI 2=MI (not in NHANES 01-02),Q,0,0
MCQ010,Ever told had asthma,Q,0,0
MCQ020,Age when first had asthma,Q,0,0
MCQ030,Still have asthma,Q,0,0
MCQ040,Asthma attack in past year,Q,0,0
MCQ050,Emergency care visit for asthma past year,Q,0,0
MCQ053,Taking treatment for anemia past 3 months,Q,0,0
MCQ060,Told have attention deficit disorder,Q,0,0
MCQ080,Told to be overweight,Q,0,0
MCQ083,Told have learning disability,Q,0,0
MCQ090,Ever had chickenpox,Q,0,0
MCQ092,Ever receive blood transfusion,Q,0,0
MCD093,Year receive blood transfusion,Q,0,0
MCQ100,Told have high blood pressure (not in NHANES 01-02),Q,0,0
MCQ110,Taking medicine for high blood pressure (not in NHANES 01-02),Q,0,0
MCQ114,Ever tested for lead poisoning ,Q,0,0
MCQ117Q,How long since lead poisoning test,Q,0,0
MCQ117U,Months or years,Q,0,0
MCQ120A,Had hay fever past year,Q,0,0
MCQ120B,Had 3 or more ear infections past year,Q,0,0
MCQ120C,Had frequent or severe headaches past year,Q,0,0
MCQ120D,Stuttering or stammering past year,Q,0,0
MCQ140,Trouble seeing even with glass or contacts,Q,0,0
MCQ147,Menstrual periods started yet,Q,0,0
MCQ148,Age when menstrual periods started (not in NHANES 01-02),Q,0,0
MCQ150G,School days missed from injury or illness,Q,0,0
MCQ150Q,Number school days missed from injury or illness,Q,0,0
MCQ160A,Told had arthritis,Q,0,0
MCQ160B,Told had congestive heart failure,Q,0,0
MCQ160C,Told had coronary heart disease,Q,0,0
MCQ160D,Told had angina,Q,0,0
MCQ160E,Told had heart attack,Q,0,0
MCQ160F,Told had stroke,Q,0,0
MCQ160G,Told had emphysema,Q,0,0
MCQ160H,Told had goiter (not in NHANES 01-02) (can omit if using MCQ160I or MCQ160M),Q,0,0
MCQ160I,Told had thyroid disease (not in NHANES 01-02) (same as MCQ160M),Q,0,0
MCQ160J,Told overweight,Q,0,0
MCQ160K,Told had chronic bronchitis,Q,0,0
MCQ160L,Told had liver condition,Q,0,0
MCD160M,Told had thyroid problem (not in NHANES 99-00) (same as MCQ160I) – synced to MCQ160I in merged,Q,0,0
MCQ170H,Still have goiter (not in NHANES 01-02) (can omit if using MCQ170I or MCD170M),Q,0,0
MCQ170I,Still have thyroid disease (not in NHANES 01-02) (same as MCD170M),Q,0,0
MCQ170K,Still have chronic bronchitis,Q,0,0
MCQ170L,Still have liver condition,Q,0,0
MCD170M,Still have thyroid problem (not in NHANES 99-00) (same as MCQ170I),Q,0,0
MCQ180A,Age when told had arthritis,Q,0,0
MCQ180B,Age when told had heart failure,Q,0,0
MCQ180C,Age when told had coronary heart disease,Q,0,0
MCQ180D,Age when told had angina,Q,0,0
MCQ180E,Age when told had heart attack,Q,0,0
MCQ180F,Age when told had stroke,Q,0,0
MCQ180G,Age when told had emphysema,Q,0,0
MCQ180H,Age when told had goiter (not in NHANES 01-02) (can omit if using MCQ180I or MCD180M),Q,0,0
MCQ180I,Age when told had thyroid disease (not in NHANES 01-02) (same as MCD180M),Q,0,0
MCQ180K,Age when told had chronic bronchitis,Q,0,0
MCQ180L,Age when told had liver condition,Q,0,0
MCD180M,Age when told had thyroid problem (not in NHANES 99-00) (same as MCQ180I),Q,0,0
MCQ190,What type of arthritis,Q,0,0
MCQ200,Told had stomach duodenal peptic ulcer (not in NHANES 01-02),Q,0,0
MCQ210,Had ulcer past year (not in NHANES 01-02),Q,0,0
MCQ220,Told had cancer or malignancy,Q,0,0
MCQ230A,What kind of cancer,Q,0,0
MCQ230B,What kind of cancer,Q,0,0
MCQ230C,What kind of cancer,Q,0,0
MCQ230D,What kind of cancer,Q,0,0
MCQ240A,Age when bladder cancer first diagnosed,Q,0,0
MCQ240B,Age when blood cancer first diagnosed,Q,0,0
MCQ240C,Age when bone cancer first diagnosed,Q,0,0
MCQ240D,Age when brain cancer first diagnosed,Q,0,0
MCQ240E,Age when breast cancer first diagnosed,Q,0,0
MCQ240F,Age when cervical cancer first diagnosed,Q,0,0
MCQ240G,Age when colon cancer first diagnosed,Q,0,0
MCQ240H,Age when esophageal cancer first diagnosed,Q,0,0
MCQ240I,Age when gallbladder cancer first diagnosed,Q,0,0
MCQ240J,Age when kidney cancer first diagnosed,Q,0,0
MCQ240K,Age when larynx cancer first diagnosed,Q,0,0
MCQ240L,Age when leukemia first diagnosed,Q,0,0
MCQ240M,Age when liver cancer first diagnosed,Q,0,0
MCQ240N,Age when lung cancer first diagnosed,Q,0,0
MCQ240O,Age when lymphoma first diagnosed,Q,0,0
MCQ240P,Age when melanoma first diagnosed,Q,0,0
MCQ240Q,Age when mouth tongue lip cancer first diagnosed,Q,0,0
MCQ240R,Age when nervous system cancer first diagnosed,Q,0,0
MCQ240S,Age when ovarian cancer first diagnosed,Q,0,0
MCQ240T,Age when pancreatic cancer first diagnosed,Q,0,0
MCQ240U,Age when prostate cancer first diagnosed,Q,0,0
MCQ240V,Age when rectal cancer first diagnosed,Q,0,0
MCQ240W,Age when non-melanoma skin cancer first diagnosed,Q,0,0
MCQ240X,Age when unknown skin cancer first diagnosed,Q,0,0
MCQ240Y,Age when soft tissue cancer first diagnosed,Q,0,0
MCQ240Z,Age when stomach cancer first diagnosed,Q,0,0
MCQ240AA,Age when testicular cancer first diagnosed,Q,0,0
MCQ240BB,Age when thyroid cancer first diagnosed,Q,0,0
MCQ240CC,Age when uterine cancer first diagnosed,Q,0,0
MCQ240DD,Age when other type of cancer first diagnosed,Q,0,0
MCQ245A,Work days missed for illness or maternity,Q,0,0
MCQ245B,Number of workdays missed,Q,0,0
MCQ250A,Blood relatives have diabetes,Q,0,0
MCQ250B,Blood relatives had Alzheimers,Q,0,0
MCQ250C,Blood relatives have asthma,Q,0,0
MCQ250D,Blood relatives have arthritis (not in NHANES 01-02),Q,0,0
MCQ250E,Blood relatives have osteoporosis,Q,0,0
MCQ250F,Blood relatives with hypertension or stroke,Q,0,0
MCQ250G,Blood relatives have angina,Q,0,0
MCQ260AA,Blood relatives diabetes mother,Q,0,0
MCQ260AB,Blood relatives diabetes father,Q,0,0
MCQ260AC,Blood relatives diabetes mothers mother,Q,0,0
MCQ260AD,Blood relatives diabetes mothers father,Q,0,0
MCQ260AE,Blood relatives diabetes fathers mother,Q,0,0
MCQ260AF,Blood relatives diabetes fathers father,Q,0,0
MCQ260AG,Blood relatives diabetes brother,Q,0,0
MCQ260AH,Blood relatives diabetes sister,Q,0,0
MCQ260AI,Blood relatives diabetes other,Q,0,0
MCQ260BA,Blood relatives Alzheimers mother,Q,0,0
MCQ260BB,Blood relatives Alzheimers father,Q,0,0
MCQ260BC,Blood relatives Alzheimers mothers mother,Q,0,0
MCQ260BD,Blood relatives Alzheimers mothers father,Q,0,0
MCQ260BE,Blood relatives Alzheimers fathers mother,Q,0,0
MCQ260BF,Blood relatives Alzheimers fathers father,Q,0,0
MCQ260BG,Blood relatives Alzheimers brother,Q,0,0
MCQ260BH,Blood relatives Alzheimers sister,Q,0,0
MCQ260BI,Blood relatives Alzheimers other,Q,0,0
MCQ260CA,Blood relatives asthma mother,Q,0,0
MCQ260CB,Blood relatives asthma father,Q,0,0
MCQ260CC,Blood relatives asthma mothers mother,Q,0,0
MCQ260CD,Blood relatives asthma mothers father,Q,0,0
MCQ260CE,Blood relatives asthma fathers mother,Q,0,0
MCQ260CF,Blood relatives asthma fathers father,Q,0,0
MCQ260CG,Blood relatives asthma brother,Q,0,0
MCQ260CH,Blood relatives asthma sister,Q,0,0
MCQ260CI,Blood relatives asthma other,Q,0,0
MCQ260DA,Blood relatives arthritis mother (not in NHANES 01-02),Q,0,0
MCQ260DB,Blood relatives arthritis father (not in NHANES 01-02),Q,0,0
MCQ260DC,Blood relatives arthritis mothers mother (not in NHANES 01-02),Q,0,0
MCQ260DD,Blood relatives arthritis mothers father (not in NHANES 01-02),Q,0,0
MCQ260DE,Blood relatives arthritis fathers mother (not in NHANES 01-02),Q,0,0
MCQ260DF,Blood relatives arthritis fathers father (not in NHANES 01-02),Q,0,0
MCQ260DG,Blood relatives arthritis brother (not in NHANES 01-02),Q,0,0
MCQ260DH,Blood relatives arthritis sister (not in NHANES 01-02),Q,0,0
MCQ260DI,Blood relatives arthritis other (not in NHANES 01-02),Q,0,0
MCQ260EA,Blood relatives osteoporosis mother,Q,0,0
MCQ260EB,Blood relatives osteoporosis father,Q,0,0
MCQ260EC,Blood relatives osteoporosis mothers mother,Q,0,0
MCQ260ED,Blood relatives osteoporosis mothers father,Q,0,0
MCQ260EE,Blood relatives osteoporosis fathers mother,Q,0,0
MCQ260EF,Blood relatives osteoporosis fathers father,Q,0,0
MCQ260EG,Blood relatives osteoporosis brother,Q,0,0
MCQ260EH,Blood relatives osteoporosis sister,Q,0,0
MCQ260EI,Blood relatives osteoporosis other,Q,0,0
MCQ260FA,Blood relatives hypertension mother,Q,0,0
MCQ260FB,Blood relatives hypertension father,Q,0,0
MCQ260FC,Blood relatives hypertension mothers mother,Q,0,0
MCQ260FD,Blood relatives hypertension mothers father,Q,0,0
MCQ260FE,Blood relatives hypertension fathers mother,Q,0,0
MCQ260FF,Blood relatives hypertension fathers father,Q,0,0
MCQ260FG,Blood relatives hypertension brother,Q,0,0
MCQ260FH,Blood relatives hypertension sister,Q,0,0
MCQ260FI,Blood relatives hypertension other,Q,0,0
MCQ260GA,Blood relatives heart attack mother,Q,0,0
MCQ260GB,Blood relatives heart attack father,Q,0,0
MCQ260GC,Blood relatives heart attack mothers mother,Q,0,0
MCQ260GD,Blood relatives heart attack mothers father,Q,0,0
MCQ260GE,Blood relatives heart attack fathers mother,Q,0,0
MCQ260GF,Blood relatives heart attack fathers father,Q,0,0
MCQ260GG,Blood relatives heart attack brother,Q,0,0
MCQ260GH,Blood relatives heart attack sister,Q,0,0
MCQ260GI,Blood relatives heart attack other,Q,0,0
MCQ270,Mother ever fracture hip,Q,0,0
MCQ280,Mothers age when fractured hip,Q,0,0
MCQ290,Mother under or over 50 when fracture hip,Q,0,0
OSQ010A,Broken or fractured a hip,Q,0,0
OSQ010B,Broken or fractured a wrist,Q,0,0
